Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
8949137;Torre Colonna-Sperone;Torre Colonna-Sperone;Torre Colonna-Sperone;P;PPL;IT;Italy;;15;PA;082004;;1521;;79;Europe/Rome;2014-04-13;Italy;38.02986, 13.57377
8949144;Prato di Coppola;Prato di Coppola;Prato di Coppola;P;PPL;IT;Italy;;07;LT;059011;;1501;;2;Europe/Rome;2014-04-13;Italy;41.4175, 12.88157
8949155;Zona Industriale;Zona Industriale;Zona Industriale;P;PPL;IT;Italy;;10;MC;043015;;1478;;107;Europe/Rome;2014-04-13;Italy;43.26155, 13.48834
8949206;Cerello-Battuello;Cerello-Battuello;Cerello-Battuello;P;PPL;IT;Italy;;09;MI;015085;;1346;;130;Europe/Rome;2014-04-13;Italy;45.44716, 8.93105
8949223;Novagli;Novagli;Novagli;P;PPL;IT;Italy;;09;BS;017113;;1322;;86;Europe/Rome;2014-04-13;Italy;45.38688, 10.43874
8949235;Montelarco;Montelarco;Montelarco;P;PPL;IT;Italy;;07;RM;058082;;1303;;249;Europe/Rome;2014-04-13;Italy;42.16339, 12.48398
8949278;Solara;Solara;Solara;P;PPL;IT;Italy;;05;MO;036002;;1210;;22;Europe/Rome;2014-04-13;Italy;44.77163, 11.09287
8949292;Gliaca;Gliaca;Gliaca;P;PPL;IT;Italy;;15;ME;083068;;1185;;14;Europe/Rome;2014-04-13;Italy;38.16317, 14.84768
8949295;Marocchi;Marocchi;Marocchi;P;PPL;IT;Italy;;12;TO;001197;;1175;;245;Europe/Rome;2014-04-13;Italy;44.94201, 7.81888
8949366;San Lorenzo;San Lorenzo;San Lorenzo;P;PPL;IT;Italy;;04;SA;065130;;1077;;18;Europe/Rome;2014-04-13;Italy;40.75405, 14.58974
8949372;Tavo;Tavo;Tavo;P;PPL;IT;Italy;;20;PD;028099;;1072;;17;Europe/Rome;2014-04-13;Italy;45.50066, 11.86079
8949406;San Maurizio;San Maurizio;San Maurizio;P;PPLA3;IT;Italy;;12;VC;002116;;1032;;307;Europe/Rome;2014-05-20;Italy;45.60349, 8.28695
8951476;Gallo;Gallo;Gallo;P;PPLA3;IT;Italy;;04;CE;061038;;314;;840;Europe/Rome;2014-05-20;Italy;41.46499, 14.22519
8952753;Servo;Servo;Servo;P;PPLA3;IT;Italy;;20;BL;025058;;219;;618;Europe/Rome;2014-05-20;Italy;46.05844, 11.78657
9036119;Progetto Case Coppito 3;Progetto Case Coppito 3;Progetto Case Coppito 3;P;PPL;IT;Italy;;01;AQ;066049;;1294;;692;Europe/Rome;2014-05-16;Italy;42.36981, 13.31973
9036357;Piano di Mommio;Piano di Mommio;Piano di Mommio;P;PPL;IT;Italy;;16;LU;046018;;2457;;5;Europe/Rome;2014-05-17;Italy;43.90954, 10.27435
9036399;Due Carrare;Due Carrare;Due Carrare;P;PPLA3;IT;Italy;;20;PD;028106;;2829;;8;Europe/Rome;2014-05-20;Italy;45.29151, 11.82402
12188859;Casal Bertone;Casal Bertone;Casal Bertone;P;PPLX;IT;Italy;;07;RM;058091;05809102;16273;;37;Europe/Rome;2020-10-05;Italy;41.89821, 12.53413
2522792;Vazzano;Vazzano;Vacano,Vaccano,Vatianum,Vazzano,Vazzanu,vuattsuano,wa zha nuo,wznw,Вацано,Ваццано,Վացանո,وزنو,ヴァッツァーノ,瓦扎诺;P;PPLA3;IT;Italy;;03;VV;102046;;1106;357;345;Europe/Rome;2014-01-11;Italy;38.63288, 16.248
2522832;Ulassai;Ulassai;Ulassai;P;PPLA3;IT;Italy;;14;NU;091098;;1491;775;705;Europe/Rome;2017-05-26;Italy;39.81033, 9.49962
2522840;Turri;Turri;Turri;P;PPLA3;IT;Italy;;14;SU;111092;;436;164;166;Europe/Rome;2018-02-10;Italy;39.70476, 8.91656
2522944;Tertenia;Tertenia;Tertenia;P;PPLA3;IT;Italy;;14;NU;091089;;3045;121;129;Europe/Rome;2017-05-26;Italy;39.69518, 9.57878
2522958;Terralba;Terralba;Tarraba,Terralba;P;PPLA3;IT;Italy;;14;OR;095065;;9583;9;13;Europe/Rome;2014-04-13;Italy;39.72056, 8.63504
2523099;Simaxis;Simaxis;Simaxis;P;PPLA3;IT;Italy;;14;OR;095059;;2074;17;18;Europe/Rome;2014-04-13;Italy;39.92995, 8.68979
2523114;Siddi;Siddi;Siddi;P;PPLA3;IT;Italy;;14;SU;111083;;690;184;189;Europe/Rome;2018-02-10;Italy;39.67255, 8.88815
2523130;Sferracavallo;Sferracavallo;Sferracavallo,Sferracavello;P;PPL;IT;Italy;;15;PA;082053;7;7800;;19;Europe/Rome;2019-07-26;Italy;38.2, 13.28333
2523242;San Vincenzo la Costa;San Vincenzo la Costa;San Vincenzo,San Vincenzo La Costa;P;PPLA3;IT;Italy;;03;CS;078135;;684;493;477;Europe/Rome;2014-04-13;Italy;39.36544, 16.1511
2523286;Santa Severina;Santa Severina;Santa Severina;P;PPLA3;IT;Italy;;03;KR;101022;;1903;326;230;Europe/Rome;2014-04-13;Italy;39.1477, 16.91112
2523333;Santa Lucia del Mela;Santa Lucia del Mela;Santa Lucia del Mela;P;PPLA3;IT;Italy;;15;ME;083086;;4084;215;216;Europe/Rome;2014-04-13;Italy;38.14408, 15.28055
2523340;Sant'Alessio Siculo;Sant'Alessio Siculo;Sant Alessio Siculo,Sant'Alessio Siculo,Sant'Alessiu Siculu,Sant'Alessiu Sìculu;P;PPLA3;IT;Italy;;15;ME;083085;;1265;15;9;Europe/Rome;2019-09-16;Italy;37.92516, 15.34968
2523384;San Procopio;San Procopio;San Procopio;P;PPLA3;IT;Italy;;03;RC;080076;;514;352;352;Europe/Rome;2014-04-13;Italy;38.28214, 15.89083
2523409;San Nicola da Crissa;San Nicola da Crissa;San Nicola da Crissa,San Nicola di Crissa;P;PPLA3;IT;Italy;;03;VV;102035;;1110;518;543;Europe/Rome;2014-04-13;Italy;38.66354, 16.28592
2523487;San Fratello;San Fratello;Fratello,San Fratello;P;PPLA3;IT;Italy;;15;ME;083078;;3942;675;666;Europe/Rome;2014-04-13;Italy;38.01556, 14.59818
2523516;San Calogero;San Calogero;Fanum Sancti Calogeris,San Calogero,San Kalodzhero,San Kalojero,San-Kalodzhero,Santu Calojaru,Santu Calòjaru,sheng ka luo jie luo,Сан Калоджеро,Сан-Калоджеро,Սան Կալոջերո,サン・カロージェロ,圣卡洛杰罗;P;PPLA3;IT;Italy;;03;VV;102032;;3630;261;281;Europe/Rome;2014-04-13;Italy;38.57447, 16.01933
2523530;Samugheo;Samugheo;Samugheo,Samugheu;P;PPLA3;IT;Italy;;14;OR;095045;;3183;370;379;Europe/Rome;2014-04-13;Italy;39.94854, 8.94152
2523574;Rotonda;Rotonda;Rotonda;P;PPLA3;IT;Italy;;02;PZ;076070;;1699;580;580;Europe/Rome;2014-04-13;Italy;39.95215, 16.03904
2523852;Pedagaggi;Pedagaggi;;P;PPL;IT;Italy;;15;SR;089006;;2114;329;340;Europe/Rome;2014-01-19;Italy;37.19182, 14.93654
2523985;Nureci;Nureci;Nureci;P;PPLA3;IT;Italy;;14;OR;095036;;318;335;341;Europe/Rome;2014-04-13;Italy;39.82329, 8.97484
2523994;Novara di Sicilia;Novara di Sicilia;Noara,Novara Sicilia,Novara di Sichilija,Novara di Sicilia,Novara-di-Sicilija,Nuvara,nuo wa la di xi qi li ya,nwfara dy syshylya,Новара ди Сичилия,Новара-ди-Сицилия,Новара-ді-Сицилія,Նովարա դի Սիցիլիա,نوفارا دي سيشيليا,ノヴァーラ・ディ・シチーリア,诺瓦拉迪西奇利亚;P;PPLA3;IT;Italy;;15;ME;083062;;906;650;629;Europe/Rome;2014-04-13;Italy;38.01538, 15.13134
2524000;Nocera Terinese;Nocera Terinese;Nocera Terinese,Nocera Tirinese;P;PPLA3;IT;Italy;;03;CZ;079087;;1377;240;367;Europe/Rome;2014-04-13;Italy;39.03474, 16.16737
2524013;Nicastro;Nicastro;Nicastro,Nikastro,Никастро;P;PPLX;IT;Italy;;03;CZ;079160;;40000;;217;Europe/Rome;2018-10-01;Italy;38.97089, 16.31285
2524205;Mazara del Vallo;Mazara del Vallo;Mazara del Vallo,Mazzara;P;PPLA3;IT;Italy;;15;TP;081012;;51534;8;17;Europe/Rome;2022-09-28;Italy;37.65535, 12.58986
2524290;Marano Marchesato;Marano Marchesato;Marano,Marano Marchesato;P;PPLA3;IT;Italy;;03;CS;078076;;3474;550;467;Europe/Rome;2014-04-13;Italy;39.31274, 16.17354
2524558;Guamaggiore;Guamaggiore;Guamaggiore;P;PPLA3;IT;Italy;;14;SU;111032;;944;199;214;Europe/Rome;2018-02-10;Italy;39.56849, 9.07391
2524624;Giardinello;Giardinello;Giardineddu,Giardinello;P;PPLA3;IT;Italy;;15;PA;082038;;1699;275;259;Europe/Rome;2014-04-13;Italy;38.08706, 13.15648
2524800;Falerna;Falerna;Falerna;P;PPLA3;IT;Italy;;03;CZ;079047;;988;550;588;Europe/Rome;2014-04-13;Italy;39.00298, 16.17151
2524963;Collinas;Collinas;Collinas;P;PPLA3;IT;Italy;;14;SU;111012;;884;249;258;Europe/Rome;2018-02-10;Italy;39.64059, 8.83955
2524994;Ciavolo;Ciavolo;;P;PPL;IT;Italy;;15;TP;081011;;1682;127;126;Europe/Rome;2014-01-11;Italy;37.77943, 12.53774
2525015;Cesarò;Cesaro;Cesaro,Cesarò,Chezaro,Чезаро;P;PPLA3;IT;Italy;;15;ME;083017;;2345;1150;1145;Europe/Rome;2014-01-16;Italy;37.84476, 14.71308
2525120;Casignana;Casignana;Casignana;P;PPLA3;IT;Italy;;03;RC;080024;;518;342;344;Europe/Rome;2014-01-11;Italy;38.10187, 16.0899
2525392;Capaci;Capaci;Capaci;P;PPLA3;IT;Italy;;15;PA;082020;;9779;51;52;Europe/Rome;2014-01-11;Italy;38.17107, 13.2393
2525567;Belvedere Marittimo;Belvedere Marittimo;Belevedere,Belvedere,Belvedere Marittimo,Marina di Belvedere,ベルヴェデーレ・マリッティモ;P;PPLA3;IT;Italy;;03;CS;078015;;6182;150;198;Europe/Rome;2017-11-04;Italy;39.6193, 15.8622
2525634;Badolato;Badolato;Badolato;P;PPLA3;IT;Italy;;03;CZ;079008;;398;240;269;Europe/Rome;2014-01-11;Italy;38.56868, 16.52461
2525739;Allai;Allai;Allai;P;PPLA3;IT;Italy;;14;OR;095005;;354;60;60;Europe/Rome;2014-04-13;Italy;39.95701, 8.86354
3164115;Villa Verucchio;Villa Verucchio;La Villa;P;PPL;IT;Italy;;05;RN;099020;;6576;91;85;Europe/Rome;2014-01-11;Italy;44.0051, 12.43575
3164185;Villanova d'Albenga;Villanova d'Albenga;Villanova,Villanova d'Albenga;P;PPLA3;IT;Italy;;08;SV;009068;;2171;29;34;Europe/Rome;2014-01-11;Italy;44.04725, 8.14336
3164243;Villafranca d'Asti;Villafranca d'Asti;Vilafranca d'Ast,Villafranca,Villafranca d'Asti;P;PPLA3;IT;Italy;;12;AT;005117;;2289;206;194;Europe/Rome;2014-04-13;Italy;44.91539, 8.02658
3164307;Villa;Villa;;P;PPLA3;IT;Italy;;09;BS;017090;;1301;725;723;Europe/Rome;2014-05-20;Italy;45.71824, 10.27906
3164331;Vigo di Cadore;Vigo di Cadore;Vigo di Cadore;P;PPLA3;IT;Italy;;20;BL;025065;;288;951;939;Europe/Rome;2014-01-11;Italy;46.49904, 12.47111
3164629;Vellezzo Bellini;Vellezzo Bellini;Vellezzo Bellini;P;PPLA3;IT;Italy;;09;PV;018173;;1649;94;91;Europe/Rome;2014-04-13;Italy;45.26948, 9.10088
3164863;Vallecorsa;Vallecorsa;Vallecorsa;P;PPLA3;IT;Italy;;07;FR;060082;;2353;350;372;Europe/Rome;2014-04-13;Italy;41.44351, 13.40634
3164971;Vaiano Cremasco;Vaiano Cremasco;Vaiano Cremasco;P;PPLA3;IT;Italy;;09;CR;019111;;3798;82;84;Europe/Rome;2014-04-13;Italy;45.37133, 9.58793
3164996;Vacone;Vacone;Vacone;P;PPLA3;IT;Italy;;07;RI;057072;;128;517;392;Europe/Rome;2014-04-13;Italy;42.381, 12.64504
3165134;Tronzano Lago Maggiore;Tronzano Lago Maggiore;Tronzano Lago Maggiore;P;PPLA3;IT;Italy;;09;VA;012129;;171;342;347;Europe/Rome;2014-01-19;Italy;46.08871, 8.7331
3165167;Trinità d'Agultu e Vignola;Trinita d'Agultu e Vignola;;P;PPL;IT;Italy;;14;SS;090074;;2026;;365;Europe/Rome;2017-05-26;Italy;40.98377, 8.91562
3165326;Tramonti di Sopra;Tramonti di Sopra;Tramonc Disore,Tramonti Sopra,Tramonti di Sopra,Tramonç Disore;P;PPLA3;IT;Italy;;06;PN;093045;;239;420;418;Europe/Rome;2014-04-13;Italy;46.31023, 12.78994
3165396;Torricella;Torricella;Torricella Sicura;P;PPLA3;IT;Italy;;01;TE;067043;;1046;;444;Europe/Rome;2014-05-17;Italy;42.65904, 13.65719
3165762;Terracina;Terracina;Terrachina,Terracina,terrachina,Террачина,テッラチーナ;P;PPLA3;IT;Italy;;07;LT;059032;;30980;22;3;Europe/Rome;2015-06-02;Italy;41.29174, 13.24359
3165996;Taceno;Taceno;Taceno,Tacenum,Tacheno,Tasen,Tazeno,ta qie nuo,tacheno,Тазено,Тачено,Տազենո,タチェーノ,塔切诺;P;PPLA3;IT;Italy;;09;LC;097079;;508;507;476;Europe/Rome;2014-04-13;Italy;46.02253, 9.364
3166018;Susa;Susa;Segusium,Susa,Susa i Italia,Suse,Suza,susa,suza,swsa,swsa  pymwnt,Суза,Սուզա,سوسا,سوسا، پیمونت,スーザ,수사;P;PPLA3;IT;Italy;;12;TO;001270;;5596;503;487;Europe/Rome;2014-04-13;Italy;45.13677, 7.05809
3166053;Subbiano;Subbiano;Subb'jano,Subbiano,Subbianu,Subbjano,Subian,Subiano,Subianum,Subjana,su bi ya nuo,subbiano,Суббьяно,Суббяно,Субиано,Субяна,Սուբիանո,スッビアーノ,苏比亚诺;P;PPLA3;IT;Italy;;16;AR;051037;;3620;266;272;Europe/Rome;2014-04-13;Italy;43.57815, 11.8714
3166123;Storo;Storo;Storo,sutoro,ストーロ;P;PPLA3;IT;Italy;;17;TN;022183;;2390;409;395;Europe/Rome;2014-01-11;Italy;45.84925, 10.58022
3166442;Solarolo Rainerio;Solarolo Rainerio;Solarolo Bainerio,Solarolo Rainerio;P;PPLA3;IT;Italy;;09;CR;019096;;831;28;31;Europe/Rome;2014-04-13;Italy;45.08126, 10.35711
3166458;Sogliano al Rubicone;Sogliano al Rubicone;Sogliano,Sogliano al Rubicone;P;PPLA3;IT;Italy;;05;FC;040046;;682;379;379;Europe/Rome;2014-01-11;Italy;44.005, 12.30122
3166468;Soave;Soave;Soave,soavue,ソアーヴェ;P;PPLA3;IT;Italy;;20;VR;023081;;5035;40;31;Europe/Rome;2014-04-13;Italy;45.41955, 11.24594
3166586;Settefrati;Settefrati;Settefrati;P;PPLA3;IT;Italy;;07;FR;060072;;201;784;779;Europe/Rome;2014-04-13;Italy;41.67045, 13.8507
3166608;Sesta Godano;Sesta Godano;A Sesta,Sesta Godano;P;PPLA3;IT;Italy;;08;SP;011028;;728;242;252;Europe/Rome;2014-01-11;Italy;44.29375, 9.67535
3166619;Servigliano;Servigliano;Servigliano;P;PPLA3;IT;Italy;;10;FM;109038;;1431;215;219;Europe/Rome;2014-04-13;Italy;43.07993, 13.49268
3166753;Senago;Senago;;P;PPLA3;IT;Italy;;09;MI;015206;;20620;176;167;Europe/Rome;2014-04-13;Italy;45.57562, 9.1262
3166758;Semiana;Semiana;Semiana;P;PPLA3;IT;Italy;;09;PV;018148;;239;97;98;Europe/Rome;2014-04-13;Italy;45.13737, 8.72973
3166942;Scheggia;Scheggia;Scheggia e Pascelupo;P;PPLA3;IT;Italy;;18;PG;054046;;740;580;598;Europe/Rome;2014-04-13;Italy;43.40364, 12.66584
3167001;Scaldasole;Scaldasole;Scaldasole;P;PPLA3;IT;Italy;;09;PV;018147;;937;86;87;Europe/Rome;2014-04-13;Italy;45.12495, 8.91029
3167105;Sarule;Sarule;Sarule;P;PPLA3;IT;Italy;;14;NU;091077;;1769;626;627;Europe/Rome;2014-04-13;Italy;40.22796, 9.16644
3167116;Sarno;Sarno;Sarno,Сарно;P;PPLA3;IT;Italy;;04;SA;065135;;28837;30;24;Europe/Rome;2014-04-13;Italy;40.80748, 14.62151
3167131;Sarentino;Sarentino;Sarehncina,Sarentino,Sarntal,Sarnthein,Sarntål,Vallis Serenae,sa lun di nuo,sarentino,Σαρεντίνο,Сарентино,Сарентіно,Сарэнціна,Սարենտինո,サレンティーノ,萨伦蒂诺;P;PPLA3;IT;Italy;;17;BZ;021086;;2299;961;978;Europe/Rome;2014-01-11;Italy;46.64121, 11.35411
3167182;San Vito;San Vito;San Vito,San Vito del Cadore,San Vito di Cadore;P;PPLA3;IT;Italy;;20;BL;025051;;1548;1010;1022;Europe/Rome;2019-06-03;Italy;46.46278, 12.20608
3167223;San Valentino;San Valentino;San Valentino,San Valentino di Fiumicello;P;PPLA3;IT;Italy;;06;UD;030190;;3277;6;4;Europe/Rome;2019-03-08;Italy;45.79039, 13.41236
